
2,940,000 hands checked | 250,829 dead | 554.2s taken
2,950,000 hands checked | 250,829 dead | 554.3s taken
2,960,000 hands checked | 250,829 dead | 554.4s taken
2,970,000 hands checked | 250,829 dead | 554.5s taken
2,980,000 hands checked | 250,829 dead | 554.5s taken
2,990,000 hands checked | 250,829 dead | 554.6s taken
3,000,000 hands checked | 250,829 dead | 554.7s taken
3,010,000 hands checked | 250,829 dead | 554.8s taken
3,020,000 hands checked | 250,829 dead | 554.8s taken
3,030,000 hands checked | 250,829 dead | 554.9s taken
3,040,000 hands checked | 250,829 dead | 555.0s taken
3,050,000 hands checked | 250,829 dead | 555.1s taken
3,060,000 hands checked | 250,829 dead | 555.1s taken
3,070,000 hands checked | 250,829 dead | 555.2s taken
3,080,000 hands checked | 250,829 dead | 555.2s taken
3,090,000 hands checked | 250,829 dead | 555.3s taken
3,100,000 hands checked | 250,829 dead | 555.3s taken
3,110,000 hands checked | 250,829 dead | 555.4s taken
3,120,000 hands checked | 250,829 dead | 555.4s taken
3,130,000 hands checked | 250,829 dead | 555.5s taken
3,140,000 hands checked | 250,829 dead | 555.5s taken
3,150,000 hands checked | 250,829 dead | 555.6s taken
3,160,000 hands checked | 250,829 dead | 555.6s taken
3,170,000 hands checked | 250,829 dead | 555.7s taken
3,180,000 hands checked | 250,829 dead | 555.7s taken
3,190,000 hands checked | 250,829 dead | 555.8s taken
------- Results --------
Total hands : 3,199,724
With valid  : 2,948,895  92.1609%
No options  : 250,829   7.8391%
------- Weighted -------
Total hands : 16,007,560,800
With valid  : 15,915,970,769  99.4278%
No options  : 91,590,031   0.5722%
------------------------
